Address Type,Agency Name,Agency,Borough,Bridge Highway Direction,Bridge Highway Name,Bridge Highway Segment,City,Closed Date,Community Board,Complaint Type,Created Date,Cross Street 1,Cross Street 2,Descriptor,Due Date,Facility Type,Ferry Direction,Ferry Terminal Name,Garage Lot Name,Incident Address,Incident Zip,Intersection Street 1,Intersection Street 2,Landmark,Latitude,Location Type,Location,Longitude,Number of Records,Park Borough,Park Facility Name,Resolution Action Updated Date,Resolution Description,Road Ramp,School Address,School City,School Code,School Name,School Not Found,School Number,School Phone Number,School Region,School State,School Zip,School or Citywide Complaint,Status,Street Name,Taxi Company Borough,Taxi Pick Up Location,Unique Key,Vehicle Type,X Coordinate (State Plane),Y Coordinate (State Plane)
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,01 BRONX,Damaged Tree,2012-11-05 08:37:41.000000,,,Branch or Limb Has Fallen Down,2012-11-13 08:57:41.000000,,,,,,10451,,,,,Park,,,1,BRONX,Flynn Playground,2012-11-05 08:58:32.000000,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,,Brook Avenue and East 157th Street,BRONX,,Flynn Playground,,X146,7184301800,,NY,10451,,Assigned,,,,24338488,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,01 BRONX,Damaged Tree,2012-11-06 15:38:55.000000,,,Entire Tree Has Fallen Down,2012-11-13 12:29:25.000000,,,,,,10451,,,,,Park,,,1,BRONX,Flynn Playground,2012-11-08 12:30:07.000000,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,,Brook Avenue and East 157th Street,BRONX,,Flynn Playground,,X146,7184301800,,NY,10451,,Assigned,,,,24350611,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,01 BRONX,Damaged Tree,2012-10-30 11:14:57.000000,,,Tree Trunk Split,2012-11-10 09:10:25.000000,,,,,,10451,,,,,Park,,,1,BRONX,Flynn Playground,2012-11-05 09:11:17.000000,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,,Brook Avenue and East 157th Street,BRONX,,Flynn Playground,,X146,7184301800,,NY,10451,,Assigned,,,,24285528,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,02 BRONX,Overgrown Tree/Branches,2012-10-11 10:18:56.000000,,,Dead Branches in Tree,2012-11-11 09:05:35.000000,,,,,,10459,,,,,Park,,,1,BRONX,Field Of Dreams Park,2012-10-12 09:06:31.000000,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,,"Southern Boulevard, Simpson Street, East 169th Street",BRONX,,Field Of Dreams Park,,X264,7184301800,,NY,10459,,Assigned,,,,24177994,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,04 BRONX,Damaged Tree,2011-07-14 19:11:56.000000,,,Branch Cracked and Will Fall,2011-07-26 09:30:23.000000,,,,,,10451,,,,,Park,,,1,BRONX,Joyce Kilmer Park,2011-07-18 09:31:08.000000,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,,"Walton Avenue, East 161st to 164th Streets, Grand Concourse",BRONX,,Joyce Kilmer Park,,X028,7184301800,,NY,10451,,Assigned,,,,20828424,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,04 BRONX,Damaged Tree,2013-02-19 12:11:05.000000,,,Branch Cracked and Will Fall,2013-03-02 10:18:35.000000,,,,,,10451,,,,,Park,,,1,BRONX,Franz Sigel Park,2013-02-22 10:18:35.000000,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,,"NYCRR, Walton Avenue, East 158th Street, Grand Concourse",BRONX,,Franz Sigel Park,,X047,7184301800,,NY,10451,,Assigned,,,,25027027,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,04 BRONX,Animal in a Park,2015-05-20 08:35:34.000000,,,Dog Off Leash,2015-06-03 08:35:34.000000,,,,,,10452,,,,,Park,,,1,BRONX,Mullaly Park,2015-05-20 09:33:23.000000,A Park Enforcement Patrol officer or Park Ranger has been notified and dispatched to address the situation.,,"Jerome Avenue, Mcclellan Street, River Avenue, East 162nd Street",BRONX,,Mullaly Park,,X034,7184301800,,NY,10452,,Assigned,,,,30664612,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,04 BRONX,Damaged Tree,2010-01-26 10:56:40.000000,,,Entire Tree Has Fallen Down,2010-02-25 17:26:25.000000,,,,,,10452,,,,,Park,,,1,BRONX,Mullaly Park,2010-01-26 00:00:00.000000,,,"Jerome Avenue, Mcclellan Street, River Avenue, East 162nd Street",BRONX,,Mullaly Park,,X034,7184301800,,NY,10452,,Assigned,,,,15806476,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,04 BRONX,Dead Tree,2010-06-29 13:33:20.000000,,,Dead/Dying Tree,2010-07-16 10:16:50.000000,,,,,,10452,,,,,Park,,,1,BRONX,Mullaly Park,2010-07-09 00:00:00.000000,,,"Jerome Avenue, Mcclellan Street, River Avenue, East 162nd Street",BRONX,,Mullaly Park,,X034,7184301800,,NY,10452,,Assigned,,,,17544806,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,05 BRONX,Damaged Tree,2010-03-30 14:35:48.000000,,,Entire Tree Has Fallen Down,2010-04-29 16:06:17.000000,,,,,,10453,,,,,Park,,,1,BRONX,Cedar Playground,2010-03-30 00:00:00.000000,,,West 179th Street and Sedgwick Avenue,BRONX,,Cedar Playground,,X111,7184301800,,NY,10453,,Assigned,,,,16332708,,,
