Number of Records,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,city,homes_sold,homes_sold_mom,homes_sold_yoy,inventory,inventory_mom,inventory_yoy,median_dom,median_dom_mom,median_dom_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_sale_price,median_sale_price_mom,median_sale_price_yoy,new_listings,new_listings_mom,new_listings_yoy,period_begin,period_duration,period_end,price_drops,price_drops_mom,price_drops_yoy,property_type,region,region_type,sold_above_list,sold_above_list_mom,sold_above_list_yoy,state,state_code,table_id
1,0.948594999626083,,,,4121,,,,,,,,,94.6190166069684,,,168000.0,,,76.8839618764241,,,137853.0,,,9114.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Maricopa County, AZ",county,0.203932993445011,,,Arizona,AZ,220
1,0.950506309630505,,,,560,,,,,,,,,122.171945701357,,,199999.0,,,100.045495905369,,,165000.0,,,1575.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Pima County, AZ",county,0.15,,,Arizona,AZ,223
1,0.966431085433872,,,,554,,,,,,,,,53.4145110655002,,,108500.0,,,55.5111840835625,,,107000.0,,,1027.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Pinal County, AZ",county,0.225045372050817,,,Arizona,AZ,224
1,0.977596455381429,,,,1156,,,,,,,,,243.562978427279,,,339900.0,,,228.016857864374,,,303250.0,,,1546.0,,,2009-01-01,30,2009-01-31,0.430926216640502,,,All Residential,"Alameda County, CA",county,0.359130434782609,,,California,CA,303
1,0.952151933683784,,,,111,,,,,,,,,139.168213081821,,,248000.0,,,130.586186883343,,,209000.0,,,186.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Butte County, CA",county,0.144144144144144,,,California,CA,306
1,0.974472102613532,,,,1447,,,,,,,,,140.98983725718,,,243075.0,,,131.195335276968,,,210000.0,,,1741.0,,,2009-01-01,30,2009-01-31,0.479413817166783,,,All Residential,"Contra Costa County, CA",county,0.383817427385892,,,California,CA,309
1,0.956951956510025,,,,116,,,,,,,,,251.521616749709,,,427000.0,,,160.832577132486,,,320000.0,,,,,,2009-01-01,30,2009-01-31,,,,All Residential,"El Dorado County, CA",county,0.182608695652174,,,California,CA,311
1,0.998612541520888,,,,690,,,,,,,,,87.8691063994578,,,149900.0,,,92.1264924169087,,,140000.0,,,806.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Fresno County, CA",county,0.0130434782608696,,,California,CA,312
1,0.998538519035897,,,,760,,,,,,,,,78.8673339304586,,,117500.0,,,84.0277777777778,,,124000.0,,,937.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Kern County, CA",county,0.0302631578947368,,,California,CA,317
1,0.974854338292026,,,,4699,,,,,,,,,246.419332045518,,,359900.0,,,216.668615049555,,,300000.0,,,8421.0,,,2009-01-01,30,2009-01-31,0.339580010632642,,,All Residential,"Los Angeles County, CA",county,0.353341847594721,,,California,CA,321
1,0.972014772233589,,,,177,,,,,,,,,77.4224410654148,,,143500.0,,,83.8223947891871,,,155000.0,,,210.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Madera County, CA",county,0.0628571428571429,,,California,CA,322
1,0.960876038484092,,,,115,,,,,,,,,432.329632537101,,,799999.0,,,348.986486486487,,,590000.0,,,309.0,,,2009-01-01,30,2009-01-31,0.186046511627907,,,All Residential,"Marin County, CA",county,0.260869565217391,,,California,CA,323
1,0.968259203342079,,,,534,,,,,,,,,66.5543386689132,,,113250.0,,,72.3314108566726,,,115000.0,,,263.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Merced County, CA",county,0.406451612903226,,,California,CA,326
1,0.902404739267308,,,,122,,,,,,,,,151.043325486395,,,237500.0,,,127.157129881926,,,190000.0,,,567.0,,,2009-01-01,30,2009-01-31,0.468085106382979,,,All Residential,"Monterey County, CA",county,0.229508196721311,,,California,CA,329
1,0.960353177442482,,,,66,,,,,,,,,236.279547790339,,,382450.0,,,240.838052400554,,,392000.0,,,156.0,,,2009-01-01,30,2009-01-31,0.513888888888889,,,All Residential,"Napa County, CA",county,0.242424242424242,,,California,CA,330
1,0.977285235770803,,,,1722,,,,,,,,,272.312171299775,,,445000.0,,,252.038626609442,,,360000.0,,,3420.0,,,2009-01-01,30,2009-01-31,0.225439167208848,,,All Residential,"Orange County, CA",county,0.324418604651163,,,California,CA,332
1,0.982294550312639,,,,304,,,,,,,,,420.475275233273,,,602000.0,,,147.642515103214,,,280000.0,,,,,,2009-01-01,30,2009-01-31,,,,All Residential,"Placer County, CA",county,0.407894736842105,,,California,CA,333
1,0.987469415695165,,,,1868,,,,,,,,,109.091148022503,,,197450.0,,,105.450438603277,,,159500.0,,,,,,2009-01-01,30,2009-01-31,,,,All Residential,"Sacramento County, CA",county,0.440860215053763,,,California,CA,336
1,0.920523738024461,,,,24,,,,,,,,,155.347515930751,,,258400.0,,,140.957446808511,,,245000.0,,,79.0,,,2009-01-01,30,2009-01-31,0.361111111111111,,,All Residential,"San Benito County, CA",county,0.208333333333333,,,California,CA,337
1,0.98006361008032,,,,2393,,,,,,,,,207.564114391144,,,334900.0,,,183.970106558438,,,279000.0,,,4001.0,,,2009-01-01,30,2009-01-31,0.307334109429569,,,All Residential,"San Diego County, CA",county,0.370664437944003,,,California,CA,339
