Number of Records,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,city,homes_sold,homes_sold_mom,homes_sold_yoy,inventory,inventory_mom,inventory_yoy,median_dom,median_dom_mom,median_dom_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_sale_price,median_sale_price_mom,median_sale_price_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,new_listings,new_listings_mom,new_listings_yoy,period_begin,period_duration,period_end,price_drops,price_drops_mom,price_drops_yoy,property_type,region,region_type,sold_above_list,sold_above_list_mom,sold_above_list_yoy,state,state_code,table_id
1,0.948554565195775,,,,4122,,,,,,,,,94.536444267756,,,168000.0,,,76.8558951965066,,,137676.5,,,2.0,,,9115.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Maricopa County, AZ",county,0.203883495145631,,,Arizona,AZ,220
1,0.950289583048999,,,,563,,,,,,,,,122.228132387707,,,199999.0,,,100.090991810737,,,165000.0,,,2.8,,,1578.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Pima County, AZ",county,0.149200710479574,,,Arizona,AZ,223
1,0.966431085433873,,,,554,,,,,,,,,53.4521158129176,,,108500.0,,,55.5111840835625,,,107000.0,,,1.6,,,1028.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Pinal County, AZ",county,0.225045372050817,,,Arizona,AZ,224
1,0.977551306773225,,,,1157,,,,,,,,,243.613333242884,,,339900.0,,,228.020686412788,,,302500.0,,,1.1,,,1547.0,,,2009-01-01,30,2009-01-31,0.430588235294118,,,All Residential,"Alameda County, CA",county,0.35881841876629,,,California,CA,303
1,0.951135202447895,,,,116,,,,,,,,,138.163678080765,,,248000.0,,,130.17094017094,,,207750.0,,,1.6,,,188.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Butte County, CA",county,0.137931034482759,,,California,CA,306
1,0.97462414178128,,,,1453,,,,,,,,,140.951448707909,,,240000.0,,,131.235154394299,,,210000.0,,,1.0,,,1742.0,,,2009-01-01,30,2009-01-31,0.479413817166783,,,All Residential,"Contra Costa County, CA",county,0.384986225895317,,,California,CA,309
1,0.956951956510025,,,,116,,,,,,,,,249.569707401033,,,426000.0,,,160.832577132486,,,320000.0,,,0.7,,,,,,2009-01-01,30,2009-01-31,,,,All Residential,"El Dorado County, CA",county,0.182608695652174,,,California,CA,311
1,0.998612541520889,,,,690,,,,,,,,,87.8691063994578,,,150000.0,,,92.1264924169087,,,140000.0,,,1.0,,,806.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Fresno County, CA",county,0.0130434782608696,,,California,CA,312
1,0.998538519035897,,,,760,,,,,,,,,78.9889415481832,,,117750.0,,,84.0277777777778,,,124000.0,,,1.0,,,940.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Kern County, CA",county,0.0302631578947368,,,California,CA,317
1,0.974644353810453,,,,4713,,,,,,,,,246.355685131195,,,359900.0,,,216.500011458341,,,300000.0,,,1.6,,,8435.0,,,2009-01-01,30,2009-01-31,0.339479968161316,,,All Residential,"Los Angeles County, CA",county,0.352716468590832,,,California,CA,321
